page,table_index,manufacturer,make,model ,vehicle_type,percent_content
1,1,Ford Motor Company,Ford,Mustang,PC,77%
1,1,GM LLC,Chevrolet,Corvette,PC,72%
1,1,FCA,Jeep,Cherokee,MPV,71%
1,1,FCA,Dodge,Charger,PC,70%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot 2WD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Pilot AWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Passport 2WD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Passport AWD,MPV,70%
1,1,"Honda Motor Co., Ltd.",Honda,Odyssey,MPV,70%
1,1,FCA,Chrysler,300,PC,69%
1,1,Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE350-4M/GLE350),MPV,69%
1,1,FCA,Chrysler,Pacifica,MPV,68%
1,1,FCA,Chrysler,Voyager,MPV,68%
1,1,FCA,Dodge,Durango,MPV,67%
1,1,FCA,Jeep,Grand Cherokee,MPV,67%
1,1,FCA,Dodge,Challenger,PC,66%
1,1,FCA,Jeep,Gladiator,Truck,65%
1,1,"Honda Motor Co., Ltd.",Acura,RDX FWD A- Spec,MPV,65%
1,1,"Honda Motor Co., Ltd.",Acura,RDX FWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Acura,RDX AWD A- Spec,MPV,65%
1,1,"Honda Motor Co., Ltd.",Acura,RDX AWD A- Spec,MPV,65%
1,1,"Honda Motor Co., Ltd.",Acura,RDX AWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX AWD,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX AWD A-Spec,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX FWD,PC,65%
1,1,"Honda Motor Co., Ltd.",Acura,TLX FWD A-Spec,PC,65%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Honda,CR-V FWD,MPV,65%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,1,"Honda Motor Co., Ltd.",Honda,Civic 4D,PC,65%
1,1,Tesla Inc.,Tesla,Model 3 Standard Range,PC,65%
1,1,Tesla Inc.,Tesla,Model 3 Long Range,PC,65%
1,1,Tesla Inc.,Tesla,Model 3 Performance,PC,65%
1,1,Toyota,Toyota,Tundra,Truck,65%
1,1,Fiat Chrysler,RAM,Ram 1500 CLASSIC,Truck,63%
1,1,Ford Motor Company,Ford,Bronco,Truck,61%
1,1,Fiat Chrysler,Jeep,Wrangler,MPV,60%
1,1,Ford Motor Company,Ford,Expedition,MPV,60%
1,1,GM LLC,Chevrolet,Colorado,T,60%
1,1,GM LLC,GMC,Canyon,T,60%
